player,player_handle,season_from,season_to,team_from,team_from_name,team_to,team_to_name,has_transaction,player_match_score,txn_player_matched,txn_date,txn_type,txn_team_raw,txn_team_abbrev,team_abbrev_match,txn_raw,near_miss_player,near_miss_score,near_miss_date,near_miss_raw
Haraldo McKenzie,,3,4,POR,Portland Pioneers,MAL,Malibu Waverunners,Y,0.842,"Haraldo ""Mack"" MacKenzie",2020-09-21,sign,Melonhead,HMH,N,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign",,,,
Harry Peritestes,,2,3,CIN,Cincinnati Longhorns,REK,Reykjavik Valkyries,N,0.483,Zachadee,2018-12-02,draft,Lonestar Pumpjacks,,N,"With the twentieth pick in the Season 2 Draft, the Lonestar Pumpjacks select @Zachadee",Zachadee,0.483,2018-12-02,"With the twentieth pick in the Season 2 Draft, the Lonestar Pumpjacks select @Zachadee"
Harry Peritestes,,4,5,REK,Reykjavik Valkyries,ASS,Aruba Sea Serpents,Y,1.0,Harry Peritestes,2020-09-21,sign,Rhinos,CIN,Y,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign",,,,
Harry Peritestes,,5,6,ASS,Aruba Sea Serpents,BFB,Blubs Bay Flappy Bois,Y,1.0,Harry Peritestes,2020-09-21,sign,Rhinos,CIN,N,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign",,,,
Henrik Omega,big bossuru,1,2,HMH,Humongous Melonheads,REK,Reykjavik Valkyries,N,0.538,ooga,2018-12-02,draft,Henrik Omegas,,N,"With the first pick in the Season 2 Draft, the Henrik Omegas choose @ooga.",ooga,0.538,2018-12-02,"With the first pick in the Season 2 Draft, the Henrik Omegas choose @ooga."
Henrik Omega,big bossuru,2,4,REK,Reykjavik Valkyries,SMD,Sopher McDophers,Y,1.0,Henrik Omega,2020-09-22,sign,FlappyBois,BFB,N,:FlappyBois: sign **Henrik Omega**,,,,
Henrik Omega,big bossuru,4,5,SMD,Sopher McDophers,BFB,Blubs Bay Flappy Bois,Y,1.0,Henrik Omega,2020-09-22,sign,FlappyBois,BFB,Y,:FlappyBois: sign **Henrik Omega**,,,,
Henrik Omega,big bossuru,5,6,BFB,Blubs Bay Flappy Bois,SMD,Sopher McDophers,Y,1.0,Henrik Omega,2020-09-22,sign,FlappyBois,BFB,N,:FlappyBois: sign **Henrik Omega**,,,,
Himmy Proton,,9,10,SUN,Sunnydale Slayers,GRZ,Ursa Major Grizzlies,Y,1.0,Himmy Proton,2024-01-27,draft,GRZ Ursa Major Grizzlies,GRZ,Y,"With the 15th overall pick in the S10 MLN Draft, the :GRZ:  *Ursa Major Grizzlies* select 3B/UTIL **Himmy Proton**",,,,
Himmy Proton,,10,11,GRZ,Ursa Major Grizzlies,MIA,Miami Fuego,Y,0.8,C/CINF Himmy Proton,2024-10-02,sign,Miami Fuego,MIA,Y,:MIA: Miami Fuego sign C/CINF **Himmy Proton**,,,,
Holden Tudix,,10,11,SMD,Sopher McDophers,HFX,Halifax Helmsmen,Y,1.0,CF Holden Tudix,2024-10-21,sign,Halifax Highlanders,HFX,Y,:HFX: Halifax Highlanders sign CF **Holden Tudix**,,,,
Hot Dog Jeopardy,hdj - raccussy,5,7,SUN,Sunnydale Slayers,NO,New Orleans Crawdads,Y,1.0,Third Baseman Hot Dog Jeopardy,2022-01-18,sign,New Orleans Crawdads,NO,Y,:crawdads: New Orleans Crawdads sign Third Baseman **Hot Dog Jeopardy**,,,,
Hubert Dubois,,11,12,GRZ,Ursa Major Grizzlies,SUN,Sunnydale Slayers,Y,0.812,C/CINF Hubert Dubois,2025-08-02,sign,Sunnydale Slayers,SUN,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Hugo Award,frank,6,7,JAM,JAM,GHG,Gas House Gorillas,Y,1.0,Hugo Award,2022-01-22,draft,Gorillas Gas House Gorillas,GHG,Y,"With the 6th overall pick in the S7 Draft, the :Gorillas: Gas House Gorillas select **3B Hugo Award**",,,,
Ichiro Rose,,10,11,BBEG,Baldur's Gate Beholders,MIA,Miami Fuego,Y,1.0,SS/UTIL Ichiro Rose,2024-10-01,sign,Miami Fuego,MIA,Y,:MIA: Miami Fuego sign SS/UTIL **Ichiro Rose**,,,,
Icna Comit,,1,2,LPJ,Lonestar Pumpjacks,SHH,Sleepy Hollow Horsemen,N,0.526,Rico Chet,2018-12-02,draft,Gassy Gorillas,,N,"With the thirtieth pick in the Season 2 Draft, the Gassy Gorillas select @Rico Chet",Rico Chet,0.526,2018-12-02,"With the thirtieth pick in the Season 2 Draft, the Gassy Gorillas select @Rico Chet"
Icna Comit,,4,5,BUF,Buffalo Bullfrogs,KYM,Kentucky Mashers,N,0.526,Bico Nico,2020-03-27,release,Rhinos,,N,:Rhinos: release Bico Nico,Bico Nico,0.526,2020-03-27,:Rhinos: release Bico Nico
Ioe Torrent,ioe,5,6,HFX,Halifax Helmsmen,BUF,Buffalo Bullfrogs,Y,1.0,Ioe,2021-04-28,draft,Cuba,CAR,N,":cuba: With the 140th pick of the WNC draft, Cuba selects @Ioe",,,,
Ioe Torrent,ioe,8,9,BUF,Buffalo Bullfrogs,CAR,Carolina Reapers,Y,1.0,Ioe Torrent,2023-04-19,draft,Freedom Flyers,CAR,Y,"🇺🇸 With the 42nd overall pick of the WNC Draft, the Freedom Flyers select **1B Ioe Torrent**",,,,
Ioe Torrent,ioe,11,12,CAR,Carolina Reapers,RC,Raccoon City Outbreak,Y,1.0,LF Ioe Torrent,2025-08-02,sign,Raccoon City Outbreak,RC,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Isaac Saffron,isaac saffron,4,5,BFB,Blubs Bay Flappy Bois,MAL,Malibu Waverunners,Y,1.0,Isaac Saffron,2021-04-28,draft,San Marino,GRZ,N,":sanmarino: With the 129th pick in the WNC draft, San Marino selects @Isaac Saffron",,,,
Isaac Saffron,isaac saffron,5,6,MAL,Malibu Waverunners,POR,Portland Pioneers,Y,1.0,Isaac Saffron,2021-04-28,draft,San Marino,GRZ,N,":sanmarino: With the 129th pick in the WNC draft, San Marino selects @Isaac Saffron",,,,
Isaac Saffron,isaac saffron,6,7,POR,Portland Pioneers,SMD,Sopher McDophers,Y,1.0,Catcher Isaac Saffron,2022-01-18,sign,Sopher McDophers,SMD,Y,:McDophers: Sopher McDophers sign Catcher **Isaac Saffron**,,,,
Isaac Saffron,isaac saffron,7,8,SMD,Sopher McDophers,BFB,Blubs Bay Flappy Bois,Y,1.0,C Isaac Saffron,2022-08-27,sign,Blubs Bay Flappy Bois,BFB,Y,:FlappyBois: Blubs Bay Flappy Bois sign C **Isaac Saffron**,,,,
Jackie Daytona,xx.xela.xx,6,7,MAL,Malibu Waverunners,BUF,Buffalo Bullfrogs,Y,1.0,Xx.xela.xX,2021-04-28,draft,UK,KC,Y,":brexhits: With the 99th pick in the WNC draft, The UK selects @Xx.xela.xX",,,,
Jackie Daytona,xx.xela.xx,7,8,BUF,Buffalo Bullfrogs,OGO,Ogaki Oni,Y,1.0,2B Jackie Daytona,2022-08-27,sign,Malibu Waverunners,MAL,Y,:Waverunners: Malibu Waverunners sign 2B **Jackie Daytona**,,,,
James St. Louis,,8,9,POR,Portland Pioneers,SMD,Sopher McDophers,Y,1.0,James St. Louis,2023-05-09,draft,SopherMcDophers Sopher McDophers,SMD,Y,"With the 22nd overall pick in the Season 9 MLN Draft, the :SopherMcDophers: Sopher McDophers select **P James St. Louis*",,,,
Jameson Poe,poe,1,2,SUN,Sunnydale Slayers,LPJ,Lonestar Pumpjacks,N,0.538,DeadRedd,2019-07-23,draft,Ursa Major Grizzlies,,N,"With the second pick in the Season 3 Draft, the Ursa Major Grizzlies select @DeadRedd",DeadRedd,0.538,2019-07-23,"With the second pick in the Season 3 Draft, the Ursa Major Grizzlies select @DeadRedd"
Jameson Poe,poe,2,3,LPJ,Lonestar Pumpjacks,GRZ,Ursa Major Grizzlies,N,0.538,DeadRedd,2019-07-23,draft,Ursa Major Grizzlies,,N,"With the second pick in the Season 3 Draft, the Ursa Major Grizzlies select @DeadRedd",DeadRedd,0.538,2019-07-23,"With the second pick in the Season 3 Draft, the Ursa Major Grizzlies select @DeadRedd"
Jameson Poe,poe,8,10,GRZ,Ursa Major Grizzlies,BBEG,Baldur's Gate Beholders,Y,1.0,P Jameson Poe,2024-01-22,sign,Beholder's of Baldur's Gate,BBEG,Y,:Beholders: Beholder's of Baldur's Gate sign P **Jameson Poe**,,,,
Jarey Butts,jarey butts,4,7,NO,New Orleans Crawdads,KYM,Kentucky Mashers,Y,0.909,LF Jarry Butts,2022-06-27,sign,Kentucky Mashers,KYM,Y,:Mashers: Kentucky Mashers sign LF **Jarry Butts**,,,,
Jarey Butts,jarey butts,8,9,CAR,Carolina Reapers,ACP,Acadia Peregrines,Y,1.0,LF Jarey Butts,2023-05-03,sign,ACP,ACP,Y,:ACP:sign LF **Jarey Butts**,,,,
Jarey Butts,jarey butts,11,12,ACP,Acadia Peregrines,RC,Raccoon City Outbreak,N,0.667,Harvey Burton,2025-07-20,draft,Argentina Beef,,N,":ArgentinaBeef: With the 98th overall pick in the WNC Draft, the Argentina Beef select **Harvey Burton**",Harvey Burton,0.667,2025-07-20,":ArgentinaBeef: With the 98th overall pick in the WNC Draft, the Argentina Beef select **Harvey Burton**"
"Jason ""Dead"" Redd",deadredd,10,11,GRZ,Ursa Major Grizzlies,CAR,Carolina Reapers,N,0.538,P Jameson Poe,2024-01-22,sign,Beholder's of Baldur's Gate,,N,:Beholders: Beholder's of Baldur's Gate sign P **Jameson Poe**,P Jameson Poe,0.538,2024-01-22,:Beholders: Beholder's of Baldur's Gate sign P **Jameson Poe**
Jay Emess,jms,6,7,KYM,Kentucky Mashers,POR,Portland Pioneers,Y,1.0,Pitcher Jay Emess,2022-01-18,sign,Portland Pioneers,POR,Y,:Pioneers: Portland Pioneers sign Pitcher **Jay Emess**,,,,
Jeff Dingerhitter,jeff dingerhitter,4,5,BFB,Blubs Bay Flappy Bois,ASS,Aruba Sea Serpents,Y,1.0,jeff dingerhitter,2021-04-28,draft,Ivory Coast,SMD,N,":ivorycoast: With the 111th pick of the WNC draft, The Ivory Coast selects @jeff dingerhitter",,,,
Jefferson Steelflex,jeff - hunk rep,1,4,ACP,Acadia Peregrines,BFB,Blubs Bay Flappy Bois,N,0.562,Jeff Shagwell,2020-02-23,draft,Sopher McDophers,,N,With the 12th overall pick in the S4 Draft the Sopher McDophers select **1B Jeff Shagwell**,Jeff Shagwell,0.562,2020-02-23,With the 12th overall pick in the S4 Draft the Sopher McDophers select **1B Jeff Shagwell**
Jefferson Steelflex,jeff - hunk rep,8,9,BFB,Blubs Bay Flappy Bois,HMH,Humongous Melonheads,Y,0.947,CF Jefferson Stellflex,2023-05-08,sign,Melonheads,HMH,Y,:Melonheads: sign CF **Jefferson Stellflex**,,,,
Jerry Jingles,zachadee,2,3,MAL,Malibu Waverunners,BBG,Baldur's Gate Beholders,Y,1.0,Zachadee,2018-12-02,draft,Lonestar Pumpjacks,LPJ,Y,"With the twentieth pick in the Season 2 Draft, the Lonestar Pumpjacks select @Zachadee",,,,
Jerry Jingles,zachadee,3,4,BBG,Baldur's Gate Beholders,KYM,Kentucky Mashers,N,0.538,Ryan Gasting,2020-09-26,draft,Acadia Peregrines,,N,"With the 8th overall pick in the S5 Draft, the Acadia Peregrines select @Ryan Gasting",Ryan Gasting,0.538,2020-09-26,"With the 8th overall pick in the S5 Draft, the Acadia Peregrines select @Ryan Gasting"
Jihmih Elsher,,10,11,POR,Portland Pioneers,MIA,Miami Fuego,Y,1.0,SS/UTIL Jihmih Elsher,2024-10-02,sign,Miami Fuego,MIA,Y,:MIA: Miami Fuego sign SS/UTIL **Jihmih Elsher**,,,,
Jimjon Jonjim,tigerfan895,3,4,ACP,Acadia Peregrines,POR,Portland Pioneers,Y,0.897,"Jimjon ""QJ"" Jonjim",2020-09-21,sign,Peregrines,ACP,N,":Peregrines: sign **Jimjon ""QJ"" Jonjim**",,,,
Jimjon Jonjim,tigerfan895,4,5,POR,Portland Pioneers,ACP,Acadia Peregrines,Y,0.897,"Jimjon ""QJ"" Jonjim",2020-09-21,sign,Peregrines,ACP,Y,":Peregrines: sign **Jimjon ""QJ"" Jonjim**",,,,
Jimmy Johns,eazykill,1,2,VAN,Vancouver Vampires,LPJ,Lonestar Pumpjacks,N,0.583,Tigerfan895,2018-12-02,draft,Arkasas Perogies,,N,"With the thirteenth pick in the Season 2 Draft, the Arkasas Perogies select @Tigerfan895.",Tigerfan895,0.583,2018-12-02,"With the thirteenth pick in the Season 2 Draft, the Arkasas Perogies select @Tigerfan895."
Jimmy Johns,eazykill,2,3,LPJ,Lonestar Pumpjacks,ACP,Acadia Peregrines,N,0.583,Tigerfan895,2018-12-02,draft,Arkasas Perogies,,N,"With the thirteenth pick in the Season 2 Draft, the Arkasas Perogies select @Tigerfan895.",Tigerfan895,0.583,2018-12-02,"With the thirteenth pick in the Season 2 Draft, the Arkasas Perogies select @Tigerfan895."
Joe Runzer,,3,5,HFX,Halifax Helmsmen,BFB,Blubs Bay Flappy Bois,Y,1.0,Joe Runzer,2021-01-01,sign,FlappyBois,BFB,Y,:FlappyBois: Sign **Joe Runzer**,,,,
Joey Wheeler,,4,5,KYM,Kentucky Mashers,OO,Oslo Otters,Y,1.0,Joey Wheeler,2020-09-21,sign,otters,OO,Y,:otters: sign **Joey Wheeler**,,,,
Joey Wheeler,,10,11,REK,Reykjavik Valkyries,SUN,Sunnydale Slayers,Y,1.0,P Joey Wheeler,2024-10-01,sign,Sunnydale Slayers,SUN,Y,:SUN:Sunnydale Slayers sign P **Joey Wheeler**,,,,
John Rhys Ealy,,5,6,BUF,Buffalo Bullfrogs,POR,Portland Pioneers,N,0.545,Hans,2021-04-29,draft,Puerto Rico,,N,":puertorico: With the 173rd pick in the WNC draft, Puerto Rico selects @Hans",Hans,0.545,2021-04-29,":puertorico: With the 173rd pick in the WNC draft, Puerto Rico selects @Hans"
Johnny B. Goode,,11,12,SUN,Sunnydale Slayers,ACP,Acadia Peregrines,Y,1.0,Johnny B Goode,2025-12-08,release,SUN,SUN,N,"Happy December, folks!


:ACP: **Copernicus Hel** steps down as Co-GM and leaves team
:ACP: **Elijah Walker** to Co-GM a",,,,
Johnny Dickshot,,1,5,VAN,Vancouver Vampires,BFB,Blubs Bay Flappy Bois,N,0.516,Johnny McFarland,2021-06-19,draft,Kentucky Mashers,,N,"With the 20th overall pick in the S6 Draft, the Kentucky Mashers select **C Johnny McFarland**",Johnny McFarland,0.516,2021-06-19,"With the 20th overall pick in the S6 Draft, the Kentucky Mashers select **C Johnny McFarland**"
Johnny Dickshot,,5,6,BFB,Blubs Bay Flappy Bois,HFX,Halifax Helmsmen,N,0.615,Johnny Omar,2021-07-26,sign,Helmsmen,,N,"~~Bad Bob Moment occurred~~ Backlog Cleanup:



**Pre-Season/Post Draft Transactions (Effective Sesssion 1)**

:Helmsmen",Johnny Omar,0.615,2021-07-26,"~~Bad Bob Moment occurred~~ Backlog Cleanup:



**Pre-Season/Post Draft Transactions (Effective Sesssion 1)**

:Helmsmen"
Johnny Dickshot,,8,9,HFX,Halifax Helmsmen,MIA,Miami Fuego,Y,1.0,P Johnny Dickshot,2023-05-03,sign,miami,MIA,Y,:miami: sign P **Johnny Dickshot**,,,,
Johnny Dickshot,,9,10,MIA,Miami Fuego,HFX,Halifax Helmsmen,Y,1.0,Johnny Dickshot,2023-04-19,draft,Los Zurdos Argentinos,ASS,N,"🇦🇷 With the 70th overall pick in the WNC draft, Los Zurdos Argentinos select **RF Johnny Dickshot**",,,,
Johnny Dickshot,,11,12,HFX,Halifax Helmsmen,RC,Raccoon City Outbreak,Y,0.882,RHP Johnny Dickshot,2025-08-02,sign,Raccoon City Outbreak,RC,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Jordan Kurdi,,10,11,ASS,Aruba Sea Serpents,KC,Kansas City Kitties,Y,1.0,P Jordan Kurdi,2024-10-01,sign,Kansas City Kitties,KC,Y,:KC: Kansas City Kitties sign P **Jordan Kurdi**,,,,
JP Panik,,1,2,MAL,Malibu Waverunners,ACP,Acadia Peregrines,N,0.533,jabroni,2018-12-02,draft,Henrik Omegas,,N,"With the forty ninth pick in the Season 2 Draft, the Henrik Omegas select @jabroni",jabroni,0.533,2018-12-02,"With the forty ninth pick in the Season 2 Draft, the Henrik Omegas select @jabroni"
JP Panik,,8,9,ACP,Acadia Peregrines,CAR,Carolina Reapers,N,0.526,P B.A. Dickey,2022-05-16,sign,Halifax Highlanders,,N,"**Transactions effective Session 10**

we'll organize this by team...

:Waverunners: Malibu Waverunners sign 1B/UTIL **R",P B.A. Dickey,0.526,2022-05-16,"**Transactions effective Session 10**

we'll organize this by team...

:Waverunners: Malibu Waverunners sign 1B/UTIL **R"
Juju's Snorlax,"juju’s snorlax, 1st baseman",9,10,NO,New Orleans Crawdads,CAR,Carolina Reapers,Y,0.774,1B/UTILJuju Snorlax,2024-01-22,sign,Carolina Reapers,CAR,Y,:Reapers: Carolina Reapers sign 1B/UTIL**Juju Snorlax**,,,,
Juniped Panda,,5,6,SUN,Sunnydale Slayers,OO,Oslo Otters,N,0.643,Juniped Catfish,2020-09-21,sign,slayerscrown,,N,:slayerscrown: sign **Juniped Catfish**,Juniped Catfish,0.643,2020-09-21,:slayerscrown: sign **Juniped Catfish**
JZ (but not the rapper),,5,6,POR,Portland Pioneers,MAL,Malibu Waverunners,Y,1.0,JZ,2020-09-21,sign,Pioneers,POR,N,:Pioneers: sign **JZ**,,,,
JZ (but not the rapper),,6,7,MAL,Malibu Waverunners,GRZ,Ursa Major Grizzlies,Y,1.0,Shortstop JZ,2022-01-18,sign,Ursa Major Grizzlies,GRZ,Y,:grizzlies: Ursa Major Grizzlies sign Shortstop **JZ (but not the rapper)**,,,,
JZ (but not the rapper),,8,9,GRZ,Ursa Major Grizzlies,OGO,Ogaki Oni,Y,1.0,P JZ,2023-05-03,sign,Ogaki Oni,OGO,Y,:Oni: Ogaki Oni sign P **JZ (but not the rapper)**,,,,
JZ (but not the rapper),,10,11,OGO,Ogaki Oni,REK,Reykjavik Valkyries,Y,1.0,C JZ,2025-04-08,sign,Reykjavik Valkyries,REK,Y,":RLY: R'lyeh Ancients sign RF **Cormac Karona ii**

:REK: Reykjavik Valkyries sign C **JZ (but not the rapper)**

:HFX: ",,,,
Kai Johnson,,8,9,HFX,Halifax Helmsmen,KC,Kansas City Kitties,Y,1.0,P Kai Johnson,2023-05-03,sign,Kansas City Smoke,KC,Y,:KC: Kansas City Smoke sign P **Kai Johnson**,,,,
Kali McSuntas,kali | stabby stabby,2,5,MAL,Malibu Waverunners,BFB,Blubs Bay Flappy Bois,Y,1.0,Kali McSuntas,2020-09-23,sign,FlappyBois,BFB,Y,:FlappyBois: sign **Kali McSuntas**,,,,
Kali McSuntas,kali | stabby stabby,8,9,BFB,Blubs Bay Flappy Bois,SUN,Sunnydale Slayers,Y,1.0,P Kali McSuntas,2023-05-03,sign,Sunnydale Slayers,SUN,Y,:Slayers: Sunnydale Slayers sign P **Kali McSuntas**,,,,
Kalin Young,bearied the league,4,5,POR,Portland Pioneers,KYM,Kentucky Mashers,Y,1.0,Bearied the League,2021-04-28,draft,Peru,POR,N,":peru: With the 148th pick in the WNC draft, Peru selects @Bearied the League",,,,
Kalin Young,bearied the league,8,9,CAR,Carolina Reapers,GRZ,Ursa Major Grizzlies,Y,1.0,SS Kalin Young,2023-05-03,sign,Grizzlies,GRZ,Y,:Grizzlies: sign SS **Kalin Young**,,,,
Karolina Miaukatwicz,jlh2b,5,6,HFX,Halifax Helmsmen,BUF,Buffalo Bullfrogs,Y,1.0,jlh2b,2021-04-28,draft,Israel,MAL,N,":israel: With the 17th pick in the WNC draft, Israel selects @jlh2b",,,,
KC Bats,,4,5,BFB,Blubs Bay Flappy Bois,MAL,Malibu Waverunners,N,0.556,KrazyPolishBoy,2021-04-28,draft,Israel,,N,":israel: With the 161st pick in the WNC draft, Israel selects @KrazyPolishBoy",KrazyPolishBoy,0.556,2021-04-28,":israel: With the 161st pick in the WNC draft, Israel selects @KrazyPolishBoy"
KC Bats,,5,6,MAL,Malibu Waverunners,BUF,Buffalo Bullfrogs,N,0.556,KrazyPolishBoy,2021-04-28,draft,Israel,,N,":israel: With the 161st pick in the WNC draft, Israel selects @KrazyPolishBoy",KrazyPolishBoy,0.556,2021-04-28,":israel: With the 161st pick in the WNC draft, Israel selects @KrazyPolishBoy"
KC Bats,,9,10,KC,Kansas City Kitties,GHG,Gas House Gorillas,N,0.476,C Brian Taylor,2023-05-04,sign,miami,,N,:miami: sign C **Brian Taylor**,C Brian Taylor,0.476,2023-05-04,:miami: sign C **Brian Taylor**
Kegs Mabry,,1,2,VAN,Vancouver Vampires,SMD,Sopher McDophers,N,0.476,Hank Murphy,2018-11-28,sign,The Henrik Omegas,,N,The Henrik Omegas sign Hank Murphy,Hank Murphy,0.476,2018-11-28,The Henrik Omegas sign Hank Murphy
Kegs Mabry,,2,3,SMD,Sopher McDophers,BFB,Blubs Bay Flappy Bois,N,0.545,Ike Martillo,2020-02-23,draft,Sleepy Hollow Horsemen,,N,With the 23rd overall pick in the S4 Draft the Sleepy Hollow Horsemen select **3B Ike Martillo**,Ike Martillo,0.545,2020-02-23,With the 23rd overall pick in the S4 Draft the Sleepy Hollow Horsemen select **3B Ike Martillo**
Kegs Mabry,,3,5,BFB,Blubs Bay Flappy Bois,SMD,Sopher McDophers,N,0.545,Ike Martillo,2020-02-23,draft,Sleepy Hollow Horsemen,,N,With the 23rd overall pick in the S4 Draft the Sleepy Hollow Horsemen select **3B Ike Martillo**,Ike Martillo,0.545,2020-02-23,With the 23rd overall pick in the S4 Draft the Sleepy Hollow Horsemen select **3B Ike Martillo**
Kegs Mabry,,5,6,SMD,Sopher McDophers,ACP,Acadia Peregrines,N,0.6,Mickey May,2022-01-22,draft,grizzlies Ursa Major Grizzlies,,N,"With the 15th overall pick in the S7 Draft, the :grizzlies: Ursa Major Grizzlies select **1B Mickey May**",Mickey May,0.6,2022-01-22,"With the 15th overall pick in the S7 Draft, the :grizzlies: Ursa Major Grizzlies select **1B Mickey May**"
Kegs Mabry,,6,7,ACP,Acadia Peregrines,HFX,Halifax Helmsmen,N,0.625,3B/UTIL G Baby,2022-03-16,sign,Sunnydale Slayers,,N,:slayers: Sunnydale Slayers sign 3B/UTIL **G Baby**,3B/UTIL G Baby,0.625,2022-03-16,:slayers: Sunnydale Slayers sign 3B/UTIL **G Baby**
Kegs Mabry,,8,10,HFX,Halifax Helmsmen,KC,Kansas City Kitties,Y,1.0,1B/UTIL Kegs Mabry,2024-04-27,sign,Kansas City Kitties,KC,Y,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talo",,,,
Kegs Mabry,,10,11,KC,Kansas City Kitties,RC,Raccoon City Outbreak,Y,1.0,RF Kegs Mabry,2024-10-01,sign,Raccoon City Outbreak,RC,Y,:RC: Raccoon City Outbreak sign RF **Kegs Mabry**,,,,
Kenny Kawaguchi,kennyk,6,7,ASS,Aruba Sea Serpents,HFX,Halifax Helmsmen,Y,1.0,SS Kenny Kawaguchi,2022-08-27,sign,Halifax Highlanders,HFX,Y,:Highlanders: Halifax Highlanders sign SS **Kenny Kawaguchi**,,,,
Kenny Powers,,7,8,POR,Portland Pioneers,BUF,Buffalo Bullfrogs,Y,1.0,3B Kenny Powers,2022-08-27,sign,Buffalo Bullfrogs,BUF,Y,:Bullfrogs: Buffalo Bullfrogs sign 3B **Kenny Powers**,,,,
Kenny Powers,,10,11,KC,Kansas City Kitties,GHG,Gas House Gorillas,N,0.522,P Jameson Poe,2024-01-22,sign,Beholder's of Baldur's Gate,,N,:Beholders: Beholder's of Baldur's Gate sign P **Jameson Poe**,P Jameson Poe,0.522,2024-01-22,:Beholders: Beholder's of Baldur's Gate sign P **Jameson Poe**
Kevin James,,7,8,SUN,Sunnydale Slayers,CAR,Carolina Reapers,Y,1.0,Pitcher Kevin James,2022-02-19,sign,Portland Pioneers,POR,N,"**Transactions effective Session 3**

:bullfrogs:Buffalo Bullfrogs place Pitcher **Petra Sabor** on hiatus 

:Pioneers: ",,,,
Kevin James,,8,9,CAR,Carolina Reapers,POR,Portland Pioneers,Y,1.0,Pitcher Kevin James,2022-02-19,sign,Portland Pioneers,POR,Y,"**Transactions effective Session 3**

:bullfrogs:Buffalo Bullfrogs place Pitcher **Petra Sabor** on hiatus 

:Pioneers: ",,,,
Keyo,keyo,10,11,GHG,Gas House Gorillas,KC,Kansas City Kitties,N,0.5,Mike Ock,2024-10-06,draft,Miami Fuego,,N,":MIA: With the sixteenth overall pick in the S11 MLN Draft, the *Miami Fuego* select C **Mike Ock**",Mike Ock,0.5,2024-10-06,":MIA: With the sixteenth overall pick in the S11 MLN Draft, the *Miami Fuego* select C **Mike Ock**"
Kiger Wulf,kigerwulf,2,3,MAL,Malibu Waverunners,NO,New Orleans Crawdads,Y,1.0,KigerWulf,2018-12-02,draft,Malibu Waverunners,MAL,N,"With the twenty fourth pick in the Season 2 Draft, the Malibu Waverunners select @KigerWulf",,,,
Kiger Wulf,kigerwulf,6,7,NO,New Orleans Crawdads,SUN,Sunnydale Slayers,Y,1.0,Shortstop Kiger Wulf,2022-01-18,sign,Sunnydale Slayers,SUN,Y,:slayers: Sunnydale Slayers sign Shortstop **Kiger Wulf**,,,,
Kilometers Straw,,8,9,HFX,Halifax Helmsmen,REK,Reykjavik Valkyries,Y,1.0,CF Kilometers Straw,2023-05-03,sign,Reykjavik Valkyries,REK,Y,:Valkyries: Reykjavik Valkyries sign CF **Kilometers Straw**,,,,
King Kruul,king kruul,7,8,GHG,Gas House Gorillas,HFX,Halifax Helmsmen,Y,1.0,1B King Kruul,2022-12-06,sign,Halifax Highlanders,HFX,Y,:Highlanders: Halifax Highlanders sign 1B **King Kruul** (11/23/22),,,,
Kries Von Kriestalhauser,,8,9,POR,Portland Pioneers,CAR,Carolina Reapers,Y,1.0,Kries Von Kriestalhauser,2023-05-09,draft,Reapers Carolina Reapers,CAR,Y,"With the 1st overall pick in the Season 9 MLN Draft, the :Reapers: Carolina Reapers select **CF Kries Von Kriestalhauser",,,,
Kries Von Kriestalhauser,,9,10,CAR,Carolina Reapers,SUN,Sunnydale Slayers,Y,1.0,CF Kries Von Kriestalhauser,2022-12-12,sign,Portland Pioneers,POR,N,:Pioneers: Portland Pioneers sign CF **Kries Von Kriestalhauser**,,,,
Kries Von Kriestalhauser,,11,12,SUN,Sunnydale Slayers,KC,Kansas City Kitties,Y,1.0,CF Kries Von Kriestalhauser,2025-08-02,sign,Kansas City Kitties,KC,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Kurt Anger,whambamshangalang,1,3,CIN,Cincinnati Longhorns,KYM,Kentucky Mashers,N,0.583,Dirk Dangerous,2020-02-23,draft,Kentucky Mashers,,N,With the 24th overall pick in the S4 Draft the Kentucky Mashers select **CF Dirk Dangerous**,Dirk Dangerous,0.583,2020-02-23,With the 24th overall pick in the S4 Draft the Kentucky Mashers select **CF Dirk Dangerous**
