date,season,session,type,team,player,position,trade_partner,assets_sent,assets_received,notes,raw_message,needs_review
2024-04-01,11,3,position_switch,ACP,Acadia Peregrines Hagumi Kitazawa,P,,,,,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties receive **GHG S11 2nd Round Pick**
:GHG: Gas House Gorillas receive **KC Bats**

:ACP: Acadia Peregrines **Hagumi Kitazawa** changes to P
:ACP: Acadia Peregrines Fredd Staffguy changes to CF

:MIA: Miami Fuego sign CF **Pope Coswi**

## Session 4 Transactions

:HFX: Halifax Highlanders release P **Toronto Mans**
:MIA: Miami Fuego release CF **Pope Coswi**
:KC: Kansas City Kitties GM **Peaches** un-retires as a C / CINF
:MIA: Miami Fuego GM **Bob winn** un-retires as CF
:ACP: Acadia Peregrines release CF **Dakota Carolina Montana**
:CAR: Carolina Reapers sign CF **Pope Coswi**
:ACP: Acadia Peregrines sign CF **Copernicus Hel**",
2024-04-01,11,3,position_switch,ACP,Acadia Peregrines Fredd Staffguy,CF,,,,,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties receive **GHG S11 2nd Round Pick**
:GHG: Gas House Gorillas receive **KC Bats**

:ACP: Acadia Peregrines **Hagumi Kitazawa** changes to P
:ACP: Acadia Peregrines Fredd Staffguy changes to CF

:MIA: Miami Fuego sign CF **Pope Coswi**

## Session 4 Transactions

:HFX: Halifax Highlanders release P **Toronto Mans**
:MIA: Miami Fuego release CF **Pope Coswi**
:KC: Kansas City Kitties GM **Peaches** un-retires as a C / CINF
:MIA: Miami Fuego GM **Bob winn** un-retires as CF
:ACP: Acadia Peregrines release CF **Dakota Carolina Montana**
:CAR: Carolina Reapers sign CF **Pope Coswi**
:ACP: Acadia Peregrines sign CF **Copernicus Hel**",
2024-04-01,11,3,sign,Miami Fuego,CF Pope Coswi,,,,,,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties receive **GHG S11 2nd Round Pick**
:GHG: Gas House Gorillas receive **KC Bats**

:ACP: Acadia Peregrines **Hagumi Kitazawa** changes to P
:ACP: Acadia Peregrines Fredd Staffguy changes to CF

:MIA: Miami Fuego sign CF **Pope Coswi**

## Session 4 Transactions

:HFX: Halifax Highlanders release P **Toronto Mans**
:MIA: Miami Fuego release CF **Pope Coswi**
:KC: Kansas City Kitties GM **Peaches** un-retires as a C / CINF
:MIA: Miami Fuego GM **Bob winn** un-retires as CF
:ACP: Acadia Peregrines release CF **Dakota Carolina Montana**
:CAR: Carolina Reapers sign CF **Pope Coswi**
:ACP: Acadia Peregrines sign CF **Copernicus Hel**",
2024-04-01,11,3,release,Halifax Highlanders,P Toronto Mans,,,,,,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties receive **GHG S11 2nd Round Pick**
:GHG: Gas House Gorillas receive **KC Bats**

:ACP: Acadia Peregrines **Hagumi Kitazawa** changes to P
:ACP: Acadia Peregrines Fredd Staffguy changes to CF

:MIA: Miami Fuego sign CF **Pope Coswi**

## Session 4 Transactions

:HFX: Halifax Highlanders release P **Toronto Mans**
:MIA: Miami Fuego release CF **Pope Coswi**
:KC: Kansas City Kitties GM **Peaches** un-retires as a C / CINF
:MIA: Miami Fuego GM **Bob winn** un-retires as CF
:ACP: Acadia Peregrines release CF **Dakota Carolina Montana**
:CAR: Carolina Reapers sign CF **Pope Coswi**
:ACP: Acadia Peregrines sign CF **Copernicus Hel**",
2024-04-01,11,3,release,Miami Fuego,CF Pope Coswi,,,,,,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties receive **GHG S11 2nd Round Pick**
:GHG: Gas House Gorillas receive **KC Bats**

:ACP: Acadia Peregrines **Hagumi Kitazawa** changes to P
:ACP: Acadia Peregrines Fredd Staffguy changes to CF

:MIA: Miami Fuego sign CF **Pope Coswi**

## Session 4 Transactions

:HFX: Halifax Highlanders release P **Toronto Mans**
:MIA: Miami Fuego release CF **Pope Coswi**
:KC: Kansas City Kitties GM **Peaches** un-retires as a C / CINF
:MIA: Miami Fuego GM **Bob winn** un-retires as CF
:ACP: Acadia Peregrines release CF **Dakota Carolina Montana**
:CAR: Carolina Reapers sign CF **Pope Coswi**
:ACP: Acadia Peregrines sign CF **Copernicus Hel**",
2024-04-01,11,3,unretire,KC,Kansas City Kitties GM Peaches,,,,,,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties receive **GHG S11 2nd Round Pick**
:GHG: Gas House Gorillas receive **KC Bats**

:ACP: Acadia Peregrines **Hagumi Kitazawa** changes to P
:ACP: Acadia Peregrines Fredd Staffguy changes to CF

:MIA: Miami Fuego sign CF **Pope Coswi**

## Session 4 Transactions

:HFX: Halifax Highlanders release P **Toronto Mans**
:MIA: Miami Fuego release CF **Pope Coswi**
:KC: Kansas City Kitties GM **Peaches** un-retires as a C / CINF
:MIA: Miami Fuego GM **Bob winn** un-retires as CF
:ACP: Acadia Peregrines release CF **Dakota Carolina Montana**
:CAR: Carolina Reapers sign CF **Pope Coswi**
:ACP: Acadia Peregrines sign CF **Copernicus Hel**",
2024-04-01,11,3,unretire,MIA,Miami Fuego GM Bob winn,,,,,,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties receive **GHG S11 2nd Round Pick**
:GHG: Gas House Gorillas receive **KC Bats**

:ACP: Acadia Peregrines **Hagumi Kitazawa** changes to P
:ACP: Acadia Peregrines Fredd Staffguy changes to CF

:MIA: Miami Fuego sign CF **Pope Coswi**

## Session 4 Transactions

:HFX: Halifax Highlanders release P **Toronto Mans**
:MIA: Miami Fuego release CF **Pope Coswi**
:KC: Kansas City Kitties GM **Peaches** un-retires as a C / CINF
:MIA: Miami Fuego GM **Bob winn** un-retires as CF
:ACP: Acadia Peregrines release CF **Dakota Carolina Montana**
:CAR: Carolina Reapers sign CF **Pope Coswi**
:ACP: Acadia Peregrines sign CF **Copernicus Hel**",
2024-04-01,11,3,release,Acadia Peregrines,CF Dakota Carolina Montana,,,,,,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties receive **GHG S11 2nd Round Pick**
:GHG: Gas House Gorillas receive **KC Bats**

:ACP: Acadia Peregrines **Hagumi Kitazawa** changes to P
:ACP: Acadia Peregrines Fredd Staffguy changes to CF

:MIA: Miami Fuego sign CF **Pope Coswi**

## Session 4 Transactions

:HFX: Halifax Highlanders release P **Toronto Mans**
:MIA: Miami Fuego release CF **Pope Coswi**
:KC: Kansas City Kitties GM **Peaches** un-retires as a C / CINF
:MIA: Miami Fuego GM **Bob winn** un-retires as CF
:ACP: Acadia Peregrines release CF **Dakota Carolina Montana**
:CAR: Carolina Reapers sign CF **Pope Coswi**
:ACP: Acadia Peregrines sign CF **Copernicus Hel**",
2024-04-01,11,3,sign,Carolina Reapers,CF Pope Coswi,,,,,,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties receive **GHG S11 2nd Round Pick**
:GHG: Gas House Gorillas receive **KC Bats**

:ACP: Acadia Peregrines **Hagumi Kitazawa** changes to P
:ACP: Acadia Peregrines Fredd Staffguy changes to CF

:MIA: Miami Fuego sign CF **Pope Coswi**

## Session 4 Transactions

:HFX: Halifax Highlanders release P **Toronto Mans**
:MIA: Miami Fuego release CF **Pope Coswi**
:KC: Kansas City Kitties GM **Peaches** un-retires as a C / CINF
:MIA: Miami Fuego GM **Bob winn** un-retires as CF
:ACP: Acadia Peregrines release CF **Dakota Carolina Montana**
:CAR: Carolina Reapers sign CF **Pope Coswi**
:ACP: Acadia Peregrines sign CF **Copernicus Hel**",
2024-04-01,11,3,sign,Acadia Peregrines,CF Copernicus Hel,,,,,,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties receive **GHG S11 2nd Round Pick**
:GHG: Gas House Gorillas receive **KC Bats**

:ACP: Acadia Peregrines **Hagumi Kitazawa** changes to P
:ACP: Acadia Peregrines Fredd Staffguy changes to CF

:MIA: Miami Fuego sign CF **Pope Coswi**

## Session 4 Transactions

:HFX: Halifax Highlanders release P **Toronto Mans**
:MIA: Miami Fuego release CF **Pope Coswi**
:KC: Kansas City Kitties GM **Peaches** un-retires as a C / CINF
:MIA: Miami Fuego GM **Bob winn** un-retires as CF
:ACP: Acadia Peregrines release CF **Dakota Carolina Montana**
:CAR: Carolina Reapers sign CF **Pope Coswi**
:ACP: Acadia Peregrines sign CF **Copernicus Hel**",
2024-04-13,11,5,sign,Reykjavik Valkyries,SS/UTIL Seth Kablamo,,,,,,"## Session 5 transactions

:REK: Reykjavik Valkyries sign SS/UTIL **Seth Kablamo**
:REK: Reykjavik Valkyries GM **Paulie Wag** retires as a player

:CAR: Carolina Reapers release RF **Guy LeDouche**

:KC: Kansas City Kitties GM **Princess Peach** retires as a player

:ACP: Acadia Peregrines sign RF **Matthew Heskey**
:ACP: Acadia Peregrines GM **Eir Thorson** retires as a player

:RC: Raccoon City Outbreak sign P **Guy Ledouche**
:RC: Raccoon City Outbreak GM **Crash Davis** retires as a player

:CAR: Carolina Reapers release CF **Pope Coswi**

:POR: Portland Pioneers sign P **Pope Coswi**",
2024-04-13,11,5,retirement,REK,Reykjavik Valkyries GM Paulie Wag,,,,,,"## Session 5 transactions

:REK: Reykjavik Valkyries sign SS/UTIL **Seth Kablamo**
:REK: Reykjavik Valkyries GM **Paulie Wag** retires as a player

:CAR: Carolina Reapers release RF **Guy LeDouche**

:KC: Kansas City Kitties GM **Princess Peach** retires as a player

:ACP: Acadia Peregrines sign RF **Matthew Heskey**
:ACP: Acadia Peregrines GM **Eir Thorson** retires as a player

:RC: Raccoon City Outbreak sign P **Guy Ledouche**
:RC: Raccoon City Outbreak GM **Crash Davis** retires as a player

:CAR: Carolina Reapers release CF **Pope Coswi**

:POR: Portland Pioneers sign P **Pope Coswi**",
2024-04-13,11,5,release,Carolina Reapers,RF Guy LeDouche,,,,,,"## Session 5 transactions

:REK: Reykjavik Valkyries sign SS/UTIL **Seth Kablamo**
:REK: Reykjavik Valkyries GM **Paulie Wag** retires as a player

:CAR: Carolina Reapers release RF **Guy LeDouche**

:KC: Kansas City Kitties GM **Princess Peach** retires as a player

:ACP: Acadia Peregrines sign RF **Matthew Heskey**
:ACP: Acadia Peregrines GM **Eir Thorson** retires as a player

:RC: Raccoon City Outbreak sign P **Guy Ledouche**
:RC: Raccoon City Outbreak GM **Crash Davis** retires as a player

:CAR: Carolina Reapers release CF **Pope Coswi**

:POR: Portland Pioneers sign P **Pope Coswi**",
2024-04-13,11,5,retirement,KC,Kansas City Kitties GM Princess Peach,,,,,,"## Session 5 transactions

:REK: Reykjavik Valkyries sign SS/UTIL **Seth Kablamo**
:REK: Reykjavik Valkyries GM **Paulie Wag** retires as a player

:CAR: Carolina Reapers release RF **Guy LeDouche**

:KC: Kansas City Kitties GM **Princess Peach** retires as a player

:ACP: Acadia Peregrines sign RF **Matthew Heskey**
:ACP: Acadia Peregrines GM **Eir Thorson** retires as a player

:RC: Raccoon City Outbreak sign P **Guy Ledouche**
:RC: Raccoon City Outbreak GM **Crash Davis** retires as a player

:CAR: Carolina Reapers release CF **Pope Coswi**

:POR: Portland Pioneers sign P **Pope Coswi**",
2024-04-13,11,5,sign,Acadia Peregrines,RF Matthew Heskey,,,,,,"## Session 5 transactions

:REK: Reykjavik Valkyries sign SS/UTIL **Seth Kablamo**
:REK: Reykjavik Valkyries GM **Paulie Wag** retires as a player

:CAR: Carolina Reapers release RF **Guy LeDouche**

:KC: Kansas City Kitties GM **Princess Peach** retires as a player

:ACP: Acadia Peregrines sign RF **Matthew Heskey**
:ACP: Acadia Peregrines GM **Eir Thorson** retires as a player

:RC: Raccoon City Outbreak sign P **Guy Ledouche**
:RC: Raccoon City Outbreak GM **Crash Davis** retires as a player

:CAR: Carolina Reapers release CF **Pope Coswi**

:POR: Portland Pioneers sign P **Pope Coswi**",
2024-04-13,11,5,retirement,ACP,Acadia Peregrines GM Eir Thorson,,,,,,"## Session 5 transactions

:REK: Reykjavik Valkyries sign SS/UTIL **Seth Kablamo**
:REK: Reykjavik Valkyries GM **Paulie Wag** retires as a player

:CAR: Carolina Reapers release RF **Guy LeDouche**

:KC: Kansas City Kitties GM **Princess Peach** retires as a player

:ACP: Acadia Peregrines sign RF **Matthew Heskey**
:ACP: Acadia Peregrines GM **Eir Thorson** retires as a player

:RC: Raccoon City Outbreak sign P **Guy Ledouche**
:RC: Raccoon City Outbreak GM **Crash Davis** retires as a player

:CAR: Carolina Reapers release CF **Pope Coswi**

:POR: Portland Pioneers sign P **Pope Coswi**",
2024-04-13,11,5,sign,Raccoon City Outbreak,P Guy Ledouche,,,,,,"## Session 5 transactions

:REK: Reykjavik Valkyries sign SS/UTIL **Seth Kablamo**
:REK: Reykjavik Valkyries GM **Paulie Wag** retires as a player

:CAR: Carolina Reapers release RF **Guy LeDouche**

:KC: Kansas City Kitties GM **Princess Peach** retires as a player

:ACP: Acadia Peregrines sign RF **Matthew Heskey**
:ACP: Acadia Peregrines GM **Eir Thorson** retires as a player

:RC: Raccoon City Outbreak sign P **Guy Ledouche**
:RC: Raccoon City Outbreak GM **Crash Davis** retires as a player

:CAR: Carolina Reapers release CF **Pope Coswi**

:POR: Portland Pioneers sign P **Pope Coswi**",
2024-04-13,11,5,retirement,RC,Raccoon City Outbreak GM Crash Davis,,,,,,"## Session 5 transactions

:REK: Reykjavik Valkyries sign SS/UTIL **Seth Kablamo**
:REK: Reykjavik Valkyries GM **Paulie Wag** retires as a player

:CAR: Carolina Reapers release RF **Guy LeDouche**

:KC: Kansas City Kitties GM **Princess Peach** retires as a player

:ACP: Acadia Peregrines sign RF **Matthew Heskey**
:ACP: Acadia Peregrines GM **Eir Thorson** retires as a player

:RC: Raccoon City Outbreak sign P **Guy Ledouche**
:RC: Raccoon City Outbreak GM **Crash Davis** retires as a player

:CAR: Carolina Reapers release CF **Pope Coswi**

:POR: Portland Pioneers sign P **Pope Coswi**",
2024-04-13,11,5,release,Carolina Reapers,CF Pope Coswi,,,,,,"## Session 5 transactions

:REK: Reykjavik Valkyries sign SS/UTIL **Seth Kablamo**
:REK: Reykjavik Valkyries GM **Paulie Wag** retires as a player

:CAR: Carolina Reapers release RF **Guy LeDouche**

:KC: Kansas City Kitties GM **Princess Peach** retires as a player

:ACP: Acadia Peregrines sign RF **Matthew Heskey**
:ACP: Acadia Peregrines GM **Eir Thorson** retires as a player

:RC: Raccoon City Outbreak sign P **Guy Ledouche**
:RC: Raccoon City Outbreak GM **Crash Davis** retires as a player

:CAR: Carolina Reapers release CF **Pope Coswi**

:POR: Portland Pioneers sign P **Pope Coswi**",
2024-04-13,11,5,sign,Portland Pioneers,P Pope Coswi,,,,,,"## Session 5 transactions

:REK: Reykjavik Valkyries sign SS/UTIL **Seth Kablamo**
:REK: Reykjavik Valkyries GM **Paulie Wag** retires as a player

:CAR: Carolina Reapers release RF **Guy LeDouche**

:KC: Kansas City Kitties GM **Princess Peach** retires as a player

:ACP: Acadia Peregrines sign RF **Matthew Heskey**
:ACP: Acadia Peregrines GM **Eir Thorson** retires as a player

:RC: Raccoon City Outbreak sign P **Guy Ledouche**
:RC: Raccoon City Outbreak GM **Crash Davis** retires as a player

:CAR: Carolina Reapers release CF **Pope Coswi**

:POR: Portland Pioneers sign P **Pope Coswi**",
2024-04-27,11,6,release,Raccoon City,P Ryan Gastings,,,,,,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talon Wingdiver**
:POR: Portland Pioneers release P **Pope Coswi**

:ACP: Acadia Peregrines P **Moob Chicago** retires

:KC: Kansas City Kitties GM **Dayman Nightman** retires as a player
:KC: Kansas City Kitties sign 1B/UTIL **Kegs Mabry**
:KC: Kansas City Kitties sign 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego release P **LaPrince Frye**
:MIA: Miami Fuego sign P **Matt Himynamis**

:HFX: Halifax Highlanders sign P **Ryan Gasting**",
2024-04-27,11,6,release,Portland Pioneers,3B/UTIL Talon Wingdiver,,,,,,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talon Wingdiver**
:POR: Portland Pioneers release P **Pope Coswi**

:ACP: Acadia Peregrines P **Moob Chicago** retires

:KC: Kansas City Kitties GM **Dayman Nightman** retires as a player
:KC: Kansas City Kitties sign 1B/UTIL **Kegs Mabry**
:KC: Kansas City Kitties sign 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego release P **LaPrince Frye**
:MIA: Miami Fuego sign P **Matt Himynamis**

:HFX: Halifax Highlanders sign P **Ryan Gasting**",
2024-04-27,11,6,release,Portland Pioneers,P Pope Coswi,,,,,,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talon Wingdiver**
:POR: Portland Pioneers release P **Pope Coswi**

:ACP: Acadia Peregrines P **Moob Chicago** retires

:KC: Kansas City Kitties GM **Dayman Nightman** retires as a player
:KC: Kansas City Kitties sign 1B/UTIL **Kegs Mabry**
:KC: Kansas City Kitties sign 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego release P **LaPrince Frye**
:MIA: Miami Fuego sign P **Matt Himynamis**

:HFX: Halifax Highlanders sign P **Ryan Gasting**",
2024-04-27,11,6,retirement,ACP,Acadia Peregrines P Moob Chicago,,,,,,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talon Wingdiver**
:POR: Portland Pioneers release P **Pope Coswi**

:ACP: Acadia Peregrines P **Moob Chicago** retires

:KC: Kansas City Kitties GM **Dayman Nightman** retires as a player
:KC: Kansas City Kitties sign 1B/UTIL **Kegs Mabry**
:KC: Kansas City Kitties sign 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego release P **LaPrince Frye**
:MIA: Miami Fuego sign P **Matt Himynamis**

:HFX: Halifax Highlanders sign P **Ryan Gasting**",
2024-04-27,11,6,retirement,KC,Kansas City Kitties GM Dayman Nightman,,,,,,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talon Wingdiver**
:POR: Portland Pioneers release P **Pope Coswi**

:ACP: Acadia Peregrines P **Moob Chicago** retires

:KC: Kansas City Kitties GM **Dayman Nightman** retires as a player
:KC: Kansas City Kitties sign 1B/UTIL **Kegs Mabry**
:KC: Kansas City Kitties sign 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego release P **LaPrince Frye**
:MIA: Miami Fuego sign P **Matt Himynamis**

:HFX: Halifax Highlanders sign P **Ryan Gasting**",
2024-04-27,11,6,sign,Kansas City Kitties,1B/UTIL Kegs Mabry,,,,,,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talon Wingdiver**
:POR: Portland Pioneers release P **Pope Coswi**

:ACP: Acadia Peregrines P **Moob Chicago** retires

:KC: Kansas City Kitties GM **Dayman Nightman** retires as a player
:KC: Kansas City Kitties sign 1B/UTIL **Kegs Mabry**
:KC: Kansas City Kitties sign 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego release P **LaPrince Frye**
:MIA: Miami Fuego sign P **Matt Himynamis**

:HFX: Halifax Highlanders sign P **Ryan Gasting**",
2024-04-27,11,6,sign,Kansas City Kitties,1B/UTIL Pope Coswi,,,,,,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talon Wingdiver**
:POR: Portland Pioneers release P **Pope Coswi**

:ACP: Acadia Peregrines P **Moob Chicago** retires

:KC: Kansas City Kitties GM **Dayman Nightman** retires as a player
:KC: Kansas City Kitties sign 1B/UTIL **Kegs Mabry**
:KC: Kansas City Kitties sign 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego release P **LaPrince Frye**
:MIA: Miami Fuego sign P **Matt Himynamis**

:HFX: Halifax Highlanders sign P **Ryan Gasting**",
2024-04-27,11,6,release,Miami Fuego,P LaPrince Frye,,,,,,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talon Wingdiver**
:POR: Portland Pioneers release P **Pope Coswi**

:ACP: Acadia Peregrines P **Moob Chicago** retires

:KC: Kansas City Kitties GM **Dayman Nightman** retires as a player
:KC: Kansas City Kitties sign 1B/UTIL **Kegs Mabry**
:KC: Kansas City Kitties sign 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego release P **LaPrince Frye**
:MIA: Miami Fuego sign P **Matt Himynamis**

:HFX: Halifax Highlanders sign P **Ryan Gasting**",
2024-04-27,11,6,sign,Miami Fuego,P Matt Himynamis,,,,,,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talon Wingdiver**
:POR: Portland Pioneers release P **Pope Coswi**

:ACP: Acadia Peregrines P **Moob Chicago** retires

:KC: Kansas City Kitties GM **Dayman Nightman** retires as a player
:KC: Kansas City Kitties sign 1B/UTIL **Kegs Mabry**
:KC: Kansas City Kitties sign 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego release P **LaPrince Frye**
:MIA: Miami Fuego sign P **Matt Himynamis**

:HFX: Halifax Highlanders sign P **Ryan Gasting**",
2024-04-27,11,6,sign,Halifax Highlanders,P Ryan Gasting,,,,,,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talon Wingdiver**
:POR: Portland Pioneers release P **Pope Coswi**

:ACP: Acadia Peregrines P **Moob Chicago** retires

:KC: Kansas City Kitties GM **Dayman Nightman** retires as a player
:KC: Kansas City Kitties sign 1B/UTIL **Kegs Mabry**
:KC: Kansas City Kitties sign 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego release P **LaPrince Frye**
:MIA: Miami Fuego sign P **Matt Himynamis**

:HFX: Halifax Highlanders sign P **Ryan Gasting**",
2024-05-14,11,7,release,Kansas City,1B/UTIL Pope Coswi,,,,,,"## Session 7 Transactions

:KC: Kansas City release 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego CF **Ferda Bois** retires
:MIA: Miami Fuego 1B/UTIL **Lincoln Crawford** retires
:MIA: Miami Fuego sign 3B/UTIL **Talon Wingdiver**

:CAR: Carolina Reapers sign RF **Guillermo Griffey III**

:RC: Raccoon City Outbreak sign P **Pope Coswi**",
2024-05-14,11,7,retirement,MIA,Miami Fuego CF Ferda Bois,,,,,,"## Session 7 Transactions

:KC: Kansas City release 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego CF **Ferda Bois** retires
:MIA: Miami Fuego 1B/UTIL **Lincoln Crawford** retires
:MIA: Miami Fuego sign 3B/UTIL **Talon Wingdiver**

:CAR: Carolina Reapers sign RF **Guillermo Griffey III**

:RC: Raccoon City Outbreak sign P **Pope Coswi**",
2024-05-14,11,7,retirement,MIA,Miami Fuego 1B/UTIL Lincoln Crawford,,,,,,"## Session 7 Transactions

:KC: Kansas City release 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego CF **Ferda Bois** retires
:MIA: Miami Fuego 1B/UTIL **Lincoln Crawford** retires
:MIA: Miami Fuego sign 3B/UTIL **Talon Wingdiver**

:CAR: Carolina Reapers sign RF **Guillermo Griffey III**

:RC: Raccoon City Outbreak sign P **Pope Coswi**",
2024-05-14,11,7,sign,Miami Fuego,3B/UTIL Talon Wingdiver,,,,,,"## Session 7 Transactions

:KC: Kansas City release 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego CF **Ferda Bois** retires
:MIA: Miami Fuego 1B/UTIL **Lincoln Crawford** retires
:MIA: Miami Fuego sign 3B/UTIL **Talon Wingdiver**

:CAR: Carolina Reapers sign RF **Guillermo Griffey III**

:RC: Raccoon City Outbreak sign P **Pope Coswi**",
2024-05-14,11,7,sign,Carolina Reapers,RF Guillermo Griffey III,,,,,,"## Session 7 Transactions

:KC: Kansas City release 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego CF **Ferda Bois** retires
:MIA: Miami Fuego 1B/UTIL **Lincoln Crawford** retires
:MIA: Miami Fuego sign 3B/UTIL **Talon Wingdiver**

:CAR: Carolina Reapers sign RF **Guillermo Griffey III**

:RC: Raccoon City Outbreak sign P **Pope Coswi**",
2024-05-14,11,7,sign,Raccoon City Outbreak,P Pope Coswi,,,,,,"## Session 7 Transactions

:KC: Kansas City release 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego CF **Ferda Bois** retires
:MIA: Miami Fuego 1B/UTIL **Lincoln Crawford** retires
:MIA: Miami Fuego sign 3B/UTIL **Talon Wingdiver**

:CAR: Carolina Reapers sign RF **Guillermo Griffey III**

:RC: Raccoon City Outbreak sign P **Pope Coswi**",
2024-05-27,11,8,trade,MIA Miami Fuego,,,HFX Halifax Highlanders,P Johnny Dickshot,"P Ryan Gastings, HXF S11 1st round pick",,"## Session 8 Transactions

:RC: Raccoon City Outbreak release P **Pope Coswi**

:KC: Kansas City Kitties sign LF **Salsa Steve**

:MIA: Miami Fuego receive P **Ryan Gastings**, HXF S11 1st round pick
:HFX: Halifax Highlanders receive P **Johnny Dickshot**

:OGO: Ogaki Oni sign 2B/UTIL **Pope Coswi**",
2024-05-27,11,8,trade,HFX Halifax Highlanders,,,MIA Miami Fuego,"P Ryan Gastings, HXF S11 1st round pick",P Johnny Dickshot,,"## Session 8 Transactions

:RC: Raccoon City Outbreak release P **Pope Coswi**

:KC: Kansas City Kitties sign LF **Salsa Steve**

:MIA: Miami Fuego receive P **Ryan Gastings**, HXF S11 1st round pick
:HFX: Halifax Highlanders receive P **Johnny Dickshot**

:OGO: Ogaki Oni sign 2B/UTIL **Pope Coswi**",
2024-05-27,11,8,release,Raccoon City Outbreak,P Pope Coswi,,,,,,"## Session 8 Transactions

:RC: Raccoon City Outbreak release P **Pope Coswi**

:KC: Kansas City Kitties sign LF **Salsa Steve**

:MIA: Miami Fuego receive P **Ryan Gastings**, HXF S11 1st round pick
:HFX: Halifax Highlanders receive P **Johnny Dickshot**

:OGO: Ogaki Oni sign 2B/UTIL **Pope Coswi**",
2024-05-27,11,8,sign,Kansas City Kitties,LF Salsa Steve,,,,,,"## Session 8 Transactions

:RC: Raccoon City Outbreak release P **Pope Coswi**

:KC: Kansas City Kitties sign LF **Salsa Steve**

:MIA: Miami Fuego receive P **Ryan Gastings**, HXF S11 1st round pick
:HFX: Halifax Highlanders receive P **Johnny Dickshot**

:OGO: Ogaki Oni sign 2B/UTIL **Pope Coswi**",
2024-05-27,11,8,sign,Ogaki Oni,2B/UTIL Pope Coswi,,,,,,"## Session 8 Transactions

:RC: Raccoon City Outbreak release P **Pope Coswi**

:KC: Kansas City Kitties sign LF **Salsa Steve**

:MIA: Miami Fuego receive P **Ryan Gastings**, HXF S11 1st round pick
:HFX: Halifax Highlanders receive P **Johnny Dickshot**

:OGO: Ogaki Oni sign 2B/UTIL **Pope Coswi**",
